testcase|DONOTREMOVE|testName|linktophoto
karentong|ChIJ7_ZotXSj6IgRwcIuWZQfK8I|Opus Coffee - UF Health Medical Plaza|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmS1IGte-TNnPlIpb5rXYY2knYlukf2ur1DeSVd0d40JbWMpFQm3m06vQjvA3R7CVP-Cld8hqFt9tjxIfVD7dtB_nQoum_nK7v3RsOTUk2VpqRpyLwcfxy5HcyBBhy62AdD1RK_q-CkWd2GaFJZqHeHf9W5XnE8PCQutnTYK0ZXwhsL&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJU66uvIWj6IgR_T3rKgn_tGY|Karma Cream|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jk2EIwz59JwY_UKTLaCu51uiirvxGuGB9D7S2RnLSedIBIoWZh8JGTSk37a64xHda2kLT3MjLWKpDyb8Y79Sc21ZQkjko9rIBgi8ZqY2QDKL8ahJQWMXJZg7imMxk8zOTnp2uASYZEoYNk65sbWPCuXSSoKbM3geXAJiJWmylJ8lu62&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJ7_qnDJ-j6IgREoFuRI9_iiQ|Opus Coffee - UF Health East Tower|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jk9nGJ8loW2MkDER6tClOFA8aADRRvFfcMo5XYqH9Gvx6MQ2RgXOeTJGRPlJ75UlZE6r1yN1OoKS4dvwH8f9UdoFQ369p5BcbJXHHak3IGL_bfw0xuY7r4YAlWJrweMsm3LtbUpEKkteU1DW5UBSOO5eguFQUgnpXfeQYeEnWmhH-jG&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJDYCC-4Kj6IgRVH16Bai3Z0Q|Starbucks|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jl2oXk7yFOMk3JI6IpdOa1_vZ2IO-Be-f42GKuCIEulyZZ7rsDrx9wFX1R6_Lj1MRVFPTf12G4x4BibGs_viDwp33JDZNg-3JoCttwlF3qdGPLYlTnJhWhkX0DpQTtam00rRstzq3Os2LXEiOh4owO8Hj8TW1-FePhGzQ-BaLTUngXh&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJL6KGEoSj6IgRu6ygIQ3p2OA|McDonald's|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jlI1MuljnxU_vwtdw-hHmO4GMOE1pt6LAVp86y-TRrwtffZH4UnGPOvQH9mQvV8_WxZYDzIsOTv_GoYaADy08R_SEHUCbSKauSM840YZfcQ9LNqbk1pMWFzqNtCODkqbUaNx0E30Q0e7954yHOk1DVKEtMdZ7BOlEWaKr7O2abgSpno&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJf5Y3UYyj6IgRa7CxrOPwTek|Volta Coffee, Tea & Chocolate|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jkHugLcKUeXeS8r34DWcWS_AyaHxZLq1jIgUCbFj1nrEQKw7tIvuQC33nFU5LenocQ7Ie_HD6UuH-WFOOqpRtYwkM-BvymWa2u0CWx1_sRX7xE-PjrL1ATarDAgGFFJqmUYYbwGgH7uc1yGtP795sFqqb45jxFQjEZ6iujx5q-d03HO&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJPUGtVGqj6IgR-24esKMADkI|Starbucks|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jlGJsqJ4G_37UVTGcrn8lq0PG8atG2Za5ao_XPJX4k9r5Fj_oCcZHvqKub4tuBtqvMJbfd9l3GH8ZaitnR4xZ85D_ssN-jeqZBUIJteheJifWfapUGQYiDFJkxZYUrUEfMIFppUzyOleVQDiCWgc-HnEoX_GFcfyOpgPC3syGs7AsG0&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
urmom|ChIJU66uvIWj6IgR_T3rKgn_tGY|Karma Cream|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jnUSRdR9Zry_5nHwlhrM7-HGreXtND0KP6l3KVeiqQY9XDAxxOUfE3i5191hPGdB_DOUI_w3Bpfhoptqq79sph4Nyp8mBcQJF29jxW-AtlwMxx9vJGvdP_9PithwxFAR35gjRq1oyD1GbPcoU8wQ9hiPWNBSixzGpxUcOsDz0qzJNDR&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
urmom|ChIJ7_ZotXSj6IgRwcIuWZQfK8I|Opus Coffee - UF Health Medical Plaza|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmlfy6AtMhqeZxUJIGYPlGew2kIVQ009QPk5BWL-67DX0hQORAwwnuvYmg7tiMAfbcbZP7yTS6v8blIRVCUoLlvgw6HnxRxaJ01eNOpbopJulLskQGOgJsV2-7IZeQ8t5l7x2v294nRESaAPb-f93UK4r07Bv6YbA8vjrrkPLcuZ9xo&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
urmom|ChIJkVxb3Uqj6IgRZzneANZ2dGA|Opus Coffee - Innovation|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmUegp-bpbNVl5Ic7ojrlTgyQ7O1jCdhj8k_838lQ3cqrkMGSt7WxLWFml-bOJ-vgKCclIkOxG--Qwtj4iDoJoYuTt1Kp-P-W2QOCtR3Ca2r694_wYvYhp2rDK5uN-FxyWU-DADz8tK16gIKIO_WJdPqE4qeLzhXPmCtJ_cH81B44yd&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
urmom|ChIJzy15Rp2j6IgRu8WtHUhwnb8|Starbucks|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmdaSs1dGdi6DCHdopQMTBht9Jil6-wUNN3VjJkEiJaoVp-JaaS05EHRYfyPrNtGcESqJ_y25GyM23BIyVgvzf0SMqiztfTxOHVUUBSkIlg_Z-r5u_GascUfyuGg-zNvMOo-Q7bm27OP4omC-UlroB0wZt9xwI-y-ft_UmyFMRHlHQY&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
